Tempo relativo (ms) , Temperatura (C), Umidita (%), Pressione (hPa)
61538 ,    293.11 K ,    36.3 % ,    97.189 kPa
62544 ,    293.12 K ,    36.0 % ,    97.195 kPa
63551 ,    293.12 K ,    35.8 % ,    97.189 kPa
64557 ,    293.13 K ,    35.5 % ,    97.189 kPa
65563 ,    293.15 K ,    35.3 % ,    97.192 kPa
66570 ,    293.15 K ,    35.0 % ,    97.187 kPa
67576 ,    293.13 K ,    34.7 % ,    97.180 kPa
68583 ,    293.14 K ,    34.5 % ,    97.177 kPa
69588 ,    293.14 K ,    34.4 % ,    97.179 kPa
70595 ,    293.15 K ,    34.2 % ,    97.174 kPa
71602 ,    293.15 K ,    34.1 % ,    97.177 kPa
72608 ,    293.17 K ,    33.9 % ,    97.173 kPa
73615 ,    293.16 K ,    33.7 % ,    97.168 kPa
74620 ,    293.16 K ,    33.5 % ,    97.163 kPa
75627 ,    293.17 K ,    33.4 % ,    97.162 kPa
76634 ,    293.16 K ,    33.3 % ,    97.160 kPa
77640 ,    293.16 K ,    33.1 % ,    97.154 kPa
78647 ,    293.16 K ,    33.0 % ,    97.151 kPa
79652 ,    293.17 K ,    32.8 % ,    97.149 kPa
80659 ,    293.17 K ,    32.7 % ,    97.150 kPa
81666 ,    293.16 K ,    32.6 % ,    97.145 kPa
82672 ,    293.17 K ,    32.5 % ,    97.142 kPa
83679 ,    293.17 K ,    32.4 % ,    97.139 kPa
84685 ,    293.18 K ,    32.3 % ,    97.137 kPa
85691 ,    293.18 K ,    32.1 % ,    97.135 kPa
86697 ,    293.18 K ,    32.0 % ,    97.132 kPa
87704 ,    293.17 K ,    32.0 % ,    97.129 kPa
88711 ,    293.17 K ,    31.9 % ,    97.129 kPa
89717 ,    293.16 K ,    31.8 % ,    97.122 kPa
90723 ,    293.17 K ,    31.7 % ,    97.124 kPa
91729 ,    293.16 K ,    31.6 % ,    97.123 kPa
92736 ,    293.16 K ,    31.5 % ,    97.122 kPa
93743 ,    293.17 K ,    31.4 % ,    97.121 kPa
94749 ,    293.18 K ,    31.3 % ,    97.122 kPa
95755 ,    293.18 K ,    31.2 % ,    97.116 kPa
96761 ,    293.18 K ,    31.2 % ,    97.113 kPa
97768 ,    293.17 K ,    31.1 % ,    97.111 kPa
98775 ,    293.16 K ,    31.0 % ,    97.108 kPa
99781 ,    293.16 K ,    30.9 % ,    97.107 kPa
100787 ,    293.16 K ,    30.9 % ,    97.102 kPa
101793 ,    293.17 K ,    30.8 % ,    97.108 kPa
102800 ,    293.17 K ,    30.7 % ,    97.107 kPa
103806 ,    293.18 K ,    30.7 % ,    97.105 kPa
104813 ,    293.17 K ,    30.6 % ,    97.102 kPa
105820 ,    293.18 K ,    30.6 % ,    97.104 kPa
106825 ,    293.16 K ,    30.5 % ,    97.101 kPa
107832 ,    293.16 K ,    30.4 % ,    97.096 kPa
108838 ,    293.16 K ,    30.4 % ,    97.097 kPa
109845 ,    293.16 K ,    30.3 % ,    97.095 kPa
110852 ,    293.17 K ,    30.3 % ,    97.097 kPa
111858 ,    293.18 K ,    30.2 % ,    97.097 kPa
112865 ,    293.18 K ,    30.2 % ,    97.096 kPa
113870 ,    293.17 K ,    30.1 % ,    97.095 kPa
114877 ,    293.17 K ,    30.1 % ,    97.095 kPa
115884 ,    293.18 K ,    30.1 % ,    97.092 kPa
116890 ,    293.18 K ,    30.0 % ,    97.092 kPa
117897 ,    293.16 K ,    30.0 % ,    97.088 kPa
118903 ,    293.16 K ,    29.9 % ,    97.085 kPa
119909 ,    293.15 K ,    29.9 % ,    97.084 kPa
120915 ,    293.16 K ,    29.9 % ,    97.083 kPa
121922 ,    293.17 K ,    29.8 % ,    97.085 kPa
122929 ,    293.16 K ,    29.7 % ,    97.082 kPa
123935 ,    293.17 K ,    29.7 % ,    97.083 kPa
124942 ,    293.17 K ,    29.7 % ,    97.081 kPa
125948 ,    293.16 K ,    29.7 % ,    97.082 kPa
126954 ,    293.16 K ,    29.6 % ,    97.077 kPa
127961 ,    293.16 K ,    29.6 % ,    97.076 kPa
128967 ,    293.17 K ,    29.5 % ,    97.075 kPa
129974 ,    293.17 K ,    29.5 % ,    97.080 kPa
130980 ,    293.18 K ,    29.5 % ,    97.077 kPa
131987 ,    293.17 K ,    29.4 % ,    97.077 kPa
132993 ,    293.15 K ,    29.4 % ,    97.071 kPa
133999 ,    293.16 K ,    29.4 % ,    97.072 kPa
135006 ,    293.16 K ,    29.4 % ,    97.071 kPa
136012 ,    293.17 K ,    29.4 % ,    97.071 kPa
137019 ,    293.17 K ,    29.3 % ,    97.073 kPa
138025 ,    293.16 K ,    29.3 % ,    97.068 kPa
139032 ,    293.15 K ,    29.3 % ,    97.066 kPa
140038 ,    293.15 K ,    29.2 % ,    97.066 kPa
141044 ,    293.17 K ,    29.2 % ,    97.069 kPa
142051 ,    293.17 K ,    29.2 % ,    97.067 kPa
143057 ,    293.17 K ,    29.2 % ,    97.064 kPa
144064 ,    293.15 K ,    29.2 % ,    97.063 kPa
145071 ,    293.15 K ,    29.1 % ,    97.065 kPa
146076 ,    293.17 K ,    29.1 % ,    97.064 kPa
147083 ,    293.17 K ,    29.1 % ,    97.066 kPa
148089 ,    293.16 K ,    29.1 % ,    97.063 kPa
149096 ,    293.16 K ,    29.0 % ,    97.064 kPa
150103 ,    293.15 K ,    29.0 % ,    97.058 kPa
151109 ,    293.16 K ,    29.0 % ,    97.064 kPa
152115 ,    293.17 K ,    29.0 % ,    97.062 kPa
153121 ,    293.16 K ,    29.0 % ,    97.063 kPa
154128 ,    293.15 K ,    28.9 % ,    97.056 kPa
155134 ,    293.15 K ,    28.9 % ,    97.058 kPa
156141 ,    293.17 K ,    28.9 % ,    97.060 kPa
157148 ,    293.17 K ,    28.9 % ,    97.060 kPa
158154 ,    293.16 K ,    28.9 % ,    97.060 kPa
159160 ,    293.15 K ,    28.9 % ,    97.052 kPa
160166 ,    293.15 K ,    28.9 % ,    97.053 kPa
161173 ,    293.16 K ,    28.9 % ,    97.054 kPa
162180 ,    293.16 K ,    28.9 % ,    97.055 kPa
163186 ,    293.13 K ,    28.8 % ,    97.052 kPa
164193 ,    293.14 K ,    28.8 % ,    97.050 kPa
165198 ,    293.12 K ,    28.8 % ,    97.050 kPa
166205 ,    293.14 K ,    28.8 % ,    97.054 kPa
167212 ,    293.14 K ,    28.8 % ,    97.050 kPa
168218 ,    293.14 K ,    28.8 % ,    97.049 kPa
169225 ,    293.16 K ,    28.7 % ,    97.049 kPa
170231 ,    293.15 K ,    28.7 % ,    97.051 kPa
171237 ,    293.14 K ,    28.7 % ,    97.052 kPa
172243 ,    293.14 K ,    28.7 % ,    97.050 kPa
173250 ,    293.11 K ,    28.7 % ,    97.045 kPa
174257 ,    293.08 K ,    28.7 % ,    97.040 kPa
175263 ,    293.08 K ,    28.7 % ,    97.037 kPa
176270 ,    293.12 K ,    28.7 % ,    97.045 kPa
177276 ,    293.13 K ,    28.7 % ,    97.043 kPa
178282 ,    293.12 K ,    28.7 % ,    97.042 kPa
179289 ,    293.13 K ,    28.6 % ,    97.043 kPa
180295 ,    293.14 K ,    28.7 % ,    97.043 kPa
181302 ,    293.16 K ,    28.6 % ,    97.046 kPa
182308 ,    293.15 K ,    28.6 % ,    97.048 kPa
183315 ,    293.14 K ,    28.6 % ,    97.043 kPa
184322 ,    293.13 K ,    28.6 % ,    97.044 kPa
185327 ,    293.14 K ,    28.6 % ,    97.042 kPa
186334 ,    293.13 K ,    28.6 % ,    97.037 kPa
187340 ,    293.12 K ,    28.6 % ,    97.040 kPa
188347 ,    293.13 K ,    28.6 % ,    97.038 kPa
189353 ,    293.13 K ,    28.6 % ,    97.038 kPa
190360 ,    293.13 K ,    28.6 % ,    97.038 kPa
191366 ,    293.14 K ,    28.5 % ,    97.040 kPa
192372 ,    293.12 K ,    28.5 % ,    97.038 kPa
193379 ,    293.13 K ,    28.6 % ,    97.038 kPa
194385 ,    293.11 K ,    28.5 % ,    97.034 kPa
195392 ,    293.13 K ,    28.5 % ,    97.037 kPa
196399 ,    293.15 K ,    28.5 % ,    97.038 kPa
197405 ,    293.12 K ,    28.5 % ,    97.036 kPa
198411 ,    293.12 K ,    28.5 % ,    97.037 kPa
199417 ,    293.12 K ,    28.5 % ,    97.039 kPa
200424 ,    293.13 K ,    28.5 % ,    97.039 kPa
201431 ,    293.14 K ,    28.5 % ,    97.042 kPa
202437 ,    293.13 K ,    28.5 % ,    97.042 kPa
203444 ,    293.12 K ,    28.5 % ,    97.033 kPa
204450 ,    293.12 K ,    28.5 % ,    97.037 kPa
205456 ,    293.13 K ,    28.5 % ,    97.038 kPa
206462 ,    293.14 K ,    28.5 % ,    97.040 kPa
207469 ,    293.13 K ,    28.5 % ,    97.034 kPa
208476 ,    293.12 K ,    28.4 % ,    97.035 kPa
209482 ,    293.12 K ,    28.4 % ,    97.036 kPa
210489 ,    293.12 K ,    28.4 % ,    97.034 kPa
211494 ,    293.13 K ,    28.5 % ,    97.037 kPa
212501 ,    293.13 K ,    28.5 % ,    97.036 kPa
213508 ,    293.12 K ,    28.4 % ,    97.034 kPa
214514 ,    293.11 K ,    28.4 % ,    97.033 kPa
215521 ,    293.12 K ,    28.4 % ,    97.036 kPa
216527 ,    293.12 K ,    28.4 % ,    97.033 kPa
217534 ,    293.12 K ,    28.4 % ,    97.034 kPa
218540 ,    293.12 K ,    28.4 % ,    97.032 kPa
219546 ,    293.13 K ,    28.4 % ,    97.033 kPa
220553 ,    293.13 K ,    28.4 % ,    97.033 kPa
221559 ,    293.14 K ,    28.4 % ,    97.033 kPa
222566 ,    293.13 K ,    28.4 % ,    97.032 kPa
223572 ,    293.13 K ,    28.4 % ,    97.031 kPa
224579 ,    293.12 K ,    28.4 % ,    97.029 kPa
225585 ,    293.12 K ,    28.4 % ,    97.033 kPa
226591 ,    293.12 K ,    28.4 % ,    97.032 kPa
227598 ,    293.12 K ,    28.4 % ,    97.032 kPa
228604 ,    293.12 K ,    28.4 % ,    97.028 kPa
229611 ,    293.11 K ,    28.4 % ,    97.030 kPa
230618 ,    293.11 K ,    28.4 % ,    97.030 kPa
231623 ,    293.12 K ,    28.4 % ,    97.030 kPa
232630 ,    293.12 K ,    28.4 % ,    97.031 kPa
233636 ,    293.11 K ,    28.4 % ,    97.031 kPa
234643 ,    293.11 K ,    28.4 % ,    97.031 kPa
235650 ,    293.12 K ,    28.3 % ,    97.030 kPa
236656 ,    293.12 K ,    28.4 % ,    97.031 kPa
237663 ,    293.12 K ,    28.3 % ,    97.031 kPa
238668 ,    293.11 K ,    28.3 % ,    97.029 kPa
239675 ,    293.11 K ,    28.4 % ,    97.025 kPa
240681 ,    293.11 K ,    28.4 % ,    97.028 kPa
241688 ,    293.10 K ,    28.3 % ,    97.029 kPa
242695 ,    293.10 K ,    28.3 % ,    97.026 kPa
243701 ,    293.05 K ,    28.4 % ,    97.016 kPa
244708 ,    293.04 K ,    28.4 % ,    97.014 kPa
245713 ,    293.04 K ,    28.3 % ,    97.015 kPa
246720 ,    293.04 K ,    28.3 % ,    97.017 kPa
247727 ,    293.04 K ,    28.3 % ,    97.016 kPa
248733 ,    293.04 K ,    28.3 % ,    97.017 kPa
249740 ,    293.06 K ,    28.4 % ,    97.021 kPa
250746 ,    293.04 K ,    28.3 % ,    97.019 kPa
251752 ,    293.04 K ,    28.3 % ,    97.019 kPa
252759 ,    293.00 K ,    28.3 % ,    97.014 kPa
253765 ,    293.03 K ,    28.3 % ,    97.015 kPa
254772 ,    293.05 K ,    28.3 % ,    97.017 kPa
255778 ,    293.05 K ,    28.3 % ,    97.015 kPa
256785 ,    293.06 K ,    28.3 % ,    97.020 kPa
257790 ,    293.04 K ,    28.3 % ,    97.012 kPa
258797 ,    293.05 K ,    28.3 % ,    97.016 kPa
259804 ,    293.07 K ,    28.3 % ,    97.019 kPa
260810 ,    293.07 K ,    28.3 % ,    97.015 kPa
261817 ,    293.06 K ,    28.3 % ,    97.016 kPa
262823 ,    293.06 K ,    28.3 % ,    97.019 kPa
263830 ,    293.06 K ,    28.3 % ,    97.018 kPa
264836 ,    293.06 K ,    28.3 % ,    97.018 kPa
265842 ,    293.06 K ,    28.3 % ,    97.021 kPa
266849 ,    293.06 K ,    28.3 % ,    97.018 kPa
267855 ,    293.06 K ,    28.3 % ,    97.020 kPa
268862 ,    293.07 K ,    28.3 % ,    97.018 kPa
269869 ,    293.06 K ,    28.3 % ,    97.017 kPa
270874 ,    293.05 K ,    28.3 % ,    97.017 kPa
271881 ,    293.06 K ,    28.3 % ,    97.018 kPa
272887 ,    293.06 K ,    28.3 % ,    97.014 kPa
273894 ,    293.06 K ,    28.3 % ,    97.020 kPa
274900 ,    293.06 K ,    28.3 % ,    97.015 kPa
275907 ,    293.04 K ,    28.3 % ,    97.013 kPa
276914 ,    293.04 K ,    28.3 % ,    97.011 kPa
277919 ,    293.04 K ,    28.3 % ,    97.010 kPa
278926 ,    293.03 K ,    28.3 % ,    97.010 kPa
279932 ,    293.03 K ,    28.3 % ,    97.013 kPa
280939 ,    293.02 K ,    28.3 % ,    97.009 kPa
281946 ,    293.00 K ,    28.3 % ,    97.007 kPa
282952 ,    293.01 K ,    28.3 % ,    97.005 kPa
283958 ,    293.01 K ,    28.3 % ,    97.006 kPa
284964 ,    293.00 K ,    28.3 % ,    97.004 kPa
285971 ,    293.00 K ,    28.3 % ,    97.002 kPa
286978 ,    293.01 K ,    28.3 % ,    97.003 kPa
287984 ,    293.02 K ,    28.3 % ,    97.007 kPa
288991 ,    293.03 K ,    28.3 % ,    97.005 kPa
289996 ,    293.02 K ,    28.3 % ,    97.006 kPa
291003 ,    293.01 K ,    28.3 % ,    97.004 kPa
292009 ,    293.00 K ,    28.3 % ,    97.006 kPa
293016 ,    293.01 K ,    28.3 % ,    97.002 kPa
294023 ,    293.01 K ,    28.3 % ,    97.005 kPa
295029 ,    293.00 K ,    28.3 % ,    97.003 kPa
296035 ,    292.99 K ,    28.3 % ,    97.002 kPa
297041 ,    293.03 K ,    28.3 % ,    97.008 kPa
298048 ,    293.04 K ,    28.3 % ,    97.010 kPa
299055 ,    293.04 K ,    28.3 % ,    97.009 kPa
300061 ,    293.03 K ,    28.3 % ,    97.008 kPa
301068 ,    293.02 K ,    28.3 % ,    97.008 kPa
302073 ,    293.01 K ,    28.3 % ,    97.006 kPa
303080 ,    293.03 K ,    28.3 % ,    97.008 kPa
304087 ,    293.02 K ,    28.3 % ,    97.005 kPa
305093 ,    293.03 K ,    28.3 % ,    97.009 kPa
306100 ,    293.01 K ,    28.3 % ,    97.007 kPa
307106 ,    293.01 K ,    28.3 % ,    97.007 kPa
308112 ,    293.00 K ,    28.3 % ,    97.004 kPa
309118 ,    293.00 K ,    28.3 % ,    97.004 kPa
310125 ,    292.98 K ,    28.3 % ,    97.003 kPa
311132 ,    292.98 K ,    28.3 % ,    97.003 kPa
312138 ,    292.98 K ,    28.3 % ,    97.001 kPa
313145 ,    292.98 K ,    28.3 % ,    97.000 kPa
314151 ,    292.99 K ,    28.3 % ,    97.001 kPa
315157 ,    292.98 K ,    28.3 % ,    97.001 kPa
316164 ,    292.98 K ,    28.3 % ,    96.999 kPa
317170 ,    292.98 K ,    28.3 % ,    97.000 kPa
318177 ,    292.98 K ,    28.3 % ,    97.000 kPa
319183 ,    292.98 K ,    28.3 % ,    97.000 kPa
320190 ,    292.98 K ,    28.3 % ,    96.999 kPa
321196 ,    292.98 K ,    28.3 % ,    96.999 kPa
322202 ,    292.98 K ,    28.3 % ,    96.999 kPa
323209 ,    292.98 K ,    28.3 % ,    97.000 kPa
324215 ,    292.98 K ,    28.3 % ,    96.997 kPa
325222 ,    292.97 K ,    28.3 % ,    96.998 kPa
326228 ,    292.96 K ,    28.3 % ,    96.999 kPa
327234 ,    292.97 K ,    28.3 % ,    96.997 kPa
328241 ,    292.97 K ,    28.3 % ,    96.999 kPa
329247 ,    292.96 K ,    28.3 % ,    96.994 kPa
330254 ,    292.96 K ,    28.3 % ,    96.995 kPa
331260 ,    292.97 K ,    28.3 % ,    96.995 kPa
332267 ,    292.97 K ,    28.3 % ,    96.995 kPa
333274 ,    292.97 K ,    28.3 % ,    96.996 kPa
334279 ,    292.96 K ,    28.3 % ,    96.992 kPa
335286 ,    292.97 K ,    28.3 % ,    96.995 kPa
336292 ,    292.96 K ,    28.3 % ,    96.993 kPa
337299 ,    292.96 K ,    28.3 % ,    96.994 kPa
338306 ,    292.95 K ,    28.3 % ,    96.991 kPa
339312 ,    292.94 K ,    28.3 % ,    96.991 kPa
340319 ,    292.95 K ,    28.3 % ,    96.992 kPa
341324 ,    292.95 K ,    28.3 % ,    96.993 kPa
342331 ,    292.95 K ,    28.3 % ,    96.990 kPa
343337 ,    292.94 K ,    28.3 % ,    96.992 kPa
344344 ,    292.94 K ,    28.3 % ,    96.991 kPa
345351 ,    292.94 K ,    28.3 % ,    96.992 kPa
346357 ,    292.94 K ,    28.3 % ,    96.991 kPa
347364 ,    292.95 K ,    28.3 % ,    96.992 kPa
348369 ,    292.93 K ,    28.3 % ,    96.990 kPa
349376 ,    292.94 K ,    28.3 % ,    96.991 kPa
350383 ,    292.93 K ,    28.3 % ,    96.987 kPa
351389 ,    292.92 K ,    28.3 % ,    96.987 kPa
352396 ,    292.95 K ,    28.3 % ,    96.991 kPa
353402 ,    292.94 K ,    28.3 % ,    96.994 kPa
354408 ,    292.94 K ,    28.3 % ,    96.993 kPa
355415 ,    292.93 K ,    28.3 % ,    96.990 kPa
356421 ,    292.93 K ,    28.3 % ,    96.992 kPa
357428 ,    292.94 K ,    28.3 % ,    96.990 kPa
358434 ,    292.93 K ,    28.3 % ,    96.988 kPa
359441 ,    292.94 K ,    28.3 % ,    96.989 kPa
360448 ,    292.94 K ,    28.3 % ,    96.991 kPa
361453 ,    292.93 K ,    28.3 % ,    96.988 kPa
362460 ,    292.93 K ,    28.3 % ,    96.986 kPa
363466 ,    292.92 K ,    28.3 % ,    96.986 kPa
364473 ,    292.93 K ,    28.3 % ,    96.986 kPa
365479 ,    292.93 K ,    28.3 % ,    96.988 kPa
366486 ,    292.92 K ,    28.3 % ,    96.987 kPa
367492 ,    292.92 K ,    28.3 % ,    96.985 kPa
368498 ,    292.92 K ,    28.3 % ,    96.986 kPa
369505 ,    292.93 K ,    28.3 % ,    96.987 kPa
370511 ,    292.92 K ,    28.3 % ,    96.985 kPa
371518 ,    292.93 K ,    28.3 % ,    96.987 kPa
372525 ,    292.93 K ,    28.3 % ,    96.988 kPa
373531 ,    292.92 K ,    28.3 % ,    96.981 kPa
374537 ,    292.93 K ,    28.3 % ,    96.985 kPa
375543 ,    292.92 K ,    28.3 % ,    96.987 kPa
376550 ,    292.93 K ,    28.3 % ,    96.991 kPa
377556 ,    292.94 K ,    28.4 % ,    96.990 kPa
378563 ,    292.94 K ,    28.3 % ,    96.991 kPa
379570 ,    292.94 K ,    28.3 % ,    96.988 kPa
380576 ,    292.91 K ,    28.3 % ,    96.983 kPa
381582 ,    292.91 K ,    28.3 % ,    96.985 kPa
382588 ,    292.92 K ,    28.3 % ,    96.986 kPa
383595 ,    292.91 K ,    28.3 % ,    96.987 kPa
384602 ,    292.92 K ,    28.3 % ,    96.987 kPa
385608 ,    292.92 K ,    28.1 % ,    96.986 kPa
386615 ,    292.92 K ,    28.3 % ,    96.987 kPa
387621 ,    292.91 K ,    28.3 % ,    96.985 kPa
388627 ,    292.91 K ,    28.4 % ,    96.987 kPa
389634 ,    292.91 K ,    28.4 % ,    96.986 kPa
390640 ,    292.90 K ,    28.4 % ,    96.984 kPa
391647 ,    292.91 K ,    28.3 % ,    96.988 kPa
392653 ,    292.91 K ,    28.3 % ,    96.984 kPa
393660 ,    292.92 K ,    28.4 % ,    96.988 kPa
394665 ,    292.92 K ,    28.4 % ,    96.984 kPa
395672 ,    292.91 K ,    28.3 % ,    96.986 kPa
396679 ,    292.90 K ,    28.4 % ,    96.985 kPa
397685 ,    292.90 K ,    28.4 % ,    96.982 kPa
398692 ,    292.90 K ,    28.4 % ,    96.980 kPa
399698 ,    292.90 K ,    28.4 % ,    96.981 kPa
400705 ,    292.90 K ,    28.3 % ,    96.986 kPa
401711 ,    292.90 K ,    28.4 % ,    96.982 kPa
402717 ,    292.89 K ,    28.3 % ,    96.983 kPa
403724 ,    292.89 K ,    28.4 % ,    96.983 kPa
404730 ,    292.88 K ,    28.4 % ,    96.980 kPa
405737 ,    292.89 K ,    28.4 % ,    96.979 kPa
406744 ,    292.87 K ,    28.4 % ,    96.983 kPa
407749 ,    292.90 K ,    28.4 % ,    96.984 kPa
408756 ,    292.90 K ,    28.4 % ,    96.983 kPa
409762 ,    292.89 K ,    28.4 % ,    96.984 kPa
410769 ,    292.90 K ,    28.4 % ,    96.984 kPa
411776 ,    292.88 K ,    28.4 % ,    96.980 kPa
412782 ,    292.85 K ,    28.4 % ,    96.977 kPa
413789 ,    292.87 K ,    28.4 % ,    96.982 kPa
414794 ,    292.83 K ,    28.4 % ,    96.974 kPa
415801 ,    292.87 K ,    28.4 % ,    96.978 kPa
416807 ,    292.87 K ,    28.4 % ,    96.977 kPa
417814 ,    292.88 K ,    28.1 % ,    96.980 kPa
418821 ,    292.88 K ,    28.4 % ,    96.981 kPa
419827 ,    292.89 K ,    28.4 % ,    96.980 kPa
420833 ,    292.89 K ,    28.4 % ,    96.978 kPa
421839 ,    292.88 K ,    28.4 % ,    96.979 kPa
422846 ,    292.88 K ,    28.4 % ,    96.981 kPa
423853 ,    292.88 K ,    28.4 % ,    96.979 kPa
424859 ,    292.87 K ,    28.4 % ,    96.982 kPa
425866 ,    292.87 K ,    28.4 % ,    96.980 kPa
426872 ,    292.87 K ,    28.4 % ,    96.979 kPa
427878 ,    292.87 K ,    28.4 % ,    96.979 kPa
428884 ,    292.88 K ,    28.4 % ,    96.981 kPa
429891 ,    292.88 K ,    28.4 % ,    96.983 kPa
430898 ,    292.89 K ,    28.4 % ,    96.981 kPa
431904 ,    292.88 K ,    28.4 % ,    96.983 kPa
432911 ,    292.88 K ,    28.4 % ,    96.981 kPa
433917 ,    292.84 K ,    28.4 % ,    96.976 kPa
434923 ,    292.85 K ,    28.4 % ,    96.976 kPa
435930 ,    292.85 K ,    28.4 % ,    96.977 kPa
436936 ,    292.86 K ,    28.4 % ,    96.979 kPa
437943 ,    292.85 K ,    28.4 % ,    96.974 kPa
438949 ,    292.83 K ,    28.4 % ,    96.974 kPa
439956 ,    292.85 K ,    28.4 % ,    96.973 kPa
440962 ,    292.85 K ,    28.4 % ,    96.974 kPa
441968 ,    292.85 K ,    28.4 % ,    96.978 kPa
442975 ,    292.85 K ,    28.4 % ,    96.977 kPa
443981 ,    292.84 K ,    28.4 % ,    96.975 kPa
444988 ,    292.85 K ,    28.4 % ,    96.976 kPa
445995 ,    292.85 K ,    28.4 % ,    96.975 kPa
447001 ,    292.84 K ,    28.4 % ,    96.975 kPa
448007 ,    292.84 K ,    28.4 % ,    96.975 kPa
449013 ,    292.85 K ,    28.4 % ,    96.974 kPa
450020 ,    292.85 K ,    28.4 % ,    96.971 kPa
451026 ,    292.86 K ,    28.4 % ,    96.974 kPa
452033 ,    292.85 K ,    28.4 % ,    96.974 kPa
453040 ,    292.85 K ,    28.4 % ,    96.974 kPa
454046 ,    292.85 K ,    28.4 % ,    96.976 kPa
455052 ,    292.85 K ,    28.4 % ,    96.975 kPa
456058 ,    292.84 K ,    28.4 % ,    96.975 kPa
457065 ,    292.84 K ,    28.4 % ,    96.975 kPa
458072 ,    292.85 K ,    28.4 % ,    96.975 kPa
459078 ,    292.83 K ,    28.4 % ,    96.972 kPa
460085 ,    292.83 K ,    28.4 % ,    96.973 kPa
461090 ,    292.82 K ,    28.4 % ,    96.972 kPa
462097 ,    292.82 K ,    28.4 % ,    96.969 kPa
463104 ,    292.82 K ,    28.4 % ,    96.966 kPa
464110 ,    292.82 K ,    28.4 % ,    96.969 kPa
465117 ,    292.82 K ,    28.4 % ,    96.971 kPa
466123 ,    292.82 K ,    28.4 % ,    96.969 kPa
467130 ,    292.83 K ,    28.4 % ,    96.971 kPa
